Dataset,Topic,Entity,Frequency
FarRight_2-2016,Immigration,Afghan,6
FarRight_2-2016,Immigration,Citizenship Canada,1
FarRight_2-2016,Immigration,IRCC,2
FarRight_2-2016,Immigration,United,1
FarRight_2-2016,Immigration,Siddiq Howladar,1
FarRight_2-2016,Immigration,Kashmiri Migrants Relief Holders,1
FarRight_2-2016,Immigration,African,17
FarRight_2-2016,Immigration,Trump,101
FarRight_2-2016,Immigration,his,36
FarRight_2-2016,Immigration,Donald Trump,36
FarRight_2-2016,Immigration,Greek,2
FarRight_2-2016,Immigration,English-speaking,2
FarRight_2-2016,Immigration,Palestinian,4
FarRight_2-2016,Immigration,Republicans,3
FarRight_2-2016,Immigration,Legislature,1
FarRight_2-2016,Immigration,United States,63
FarRight_2-2016,Immigration,Hezbollah,1
FarRight_2-2016,Immigration,Brandt,1
FarRight_2-2016,Immigration,Todd,1
FarRight_2-2016,Immigration,Fed,1
FarRight_2-2016,Immigration,pro-American,5
FarRight_2-2016,Immigration,White House,4
FarRight_2-2016,Immigration,Democrat,3
FarRight_2-2016,Immigration,GM,2
FarRight_2-2016,Immigration,S&P,2
FarRight_2-2016,Immigration,SPX,2
FarRight_2-2016,Immigration,Canada,5
FarRight_2-2016,Immigration,Mohammed Deif,1
FarRight_2-2016,Immigration,Muslim,23
FarRight_2-2016,Immigration,Natalie Wood,1
FarRight_2-2016,Immigration,Reuters,2
FarRight_2-2016,Immigration,CIS,1
FarRight_2-2016,Immigration,Mike,4
FarRight_2-2016,Immigration,Indians,1
FarRight_2-2016,Immigration,Immigration Voice,2
FarRight_2-2016,Immigration,assistant director,1
FarRight_2-2016,Immigration,Center for Immigration Studies,2
FarRight_2-2016,Immigration,President,31
FarRight_2-2016,Immigration,Italy,9
FarRight_2-2016,Immigration,Matteo Salvini,2
FarRight_2-2016,Immigration,he,6
FarRight_2-2016,Immigration,Marshall,1
FarRight_2-2016,Immigration,NIF,1
FarRight_2-2016,Immigration,DHS,1
FarRight_2-2016,Immigration,Secretary,1
FarRight_2-2016,Immigration,Jeh Johnson,1
FarRight_2-2016,Immigration,Office of Refugee Resettlement,3
FarRight_2-2016,Immigration,Americans,6
FarRight_2-2016,Immigration,German,1
FarRight_2-2016,Immigration,Obama,3
FarRight_2-2016,Immigration,Mexican,6
FarRight_2-2016,Immigration,McClintock,2
FarRight_2-2016,Immigration,Eagle Pass Station Marine Unit,2
FarRight_2-2016,Immigration,Honduran,2
FarRight_2-2016,Immigration,Border Patrol,2
FarRight_2-2016,Immigration,Jallyn Sualog,2
FarRight_2-2016,Immigration,Health and Human Services’ Office of Refugee Resettlement,2
FarRight_2-2016,Immigration,zealots,2
