Dataset,Topic,Entity,Frequency
FarRight_2-2016,Immigration,Muslim,2
FarRight_2-2016,Immigration,Mayor,1
FarRight_2-2016,Immigration,Muslims,1
FarRight_2-2016,Immigration,Le PenMatteo RenziMatteo Salvini,1
FarRight_2-2016,Immigration,GOP Primaryabortion exceptionsChris Christie 2016GOP New Hampshire,1
FarRight_2-2016,Immigration,Clinton,2
FarRight_2-2016,Immigration,Bush,1
FarRight_2-2016,Immigration,Hampshire,1
FarRight_2-2016,Immigration,EU,1
FarRight_2-2016,Immigration,he,1
FarRight_2-2016,Immigration,Germany,1
FarRight_2-2016,Immigration,Austrian,1
FarRight_2-2016,Immigration,German,4
FarRight_2-2016,Immigration,Maine,1
FarRight_2-2016,Immigration,European Union,1
FarRight_2-2016,Immigration,American,1
FarRight_2-2016,Immigration,Murdoch,1
FarRight_2-2016,Immigration,Indonesian,1
FarRight_2-2016,Immigration,Swedish,1
FarRight_2-2016,Islamophobia,Muslims,8
FarRight_2-2016,Islamophobia,Shia,1
FarRight_2-2016,Islamophobia,Alawite,1
FarRight_2-2016,Islamophobia,Norway,2
FarRight_2-2016,Islamophobia,Russia,1
FarRight_2-2016,Anti-semitism,Jews,3
FarRight_2-2016,Anti-semitism,Jewish,13
FarRight_2-2016,Anti-semitism,French,10
FarRight_2-2016,Anti-semitism,she,2
FarRight_2-2016,Anti-semitism,candidate,2
FarRight_2-2016,Anti-semitism,Secretary of State,2
FarRight_2-2016,Anti-semitism,Hillary Clinton,2
FarRight_2-2016,Anti-semitism,European,1
FarRight_2-2016,Anti-semitism,teacher,1
FarRight_2-2016,Anti-semitism,his,1
FarRight_2-2016,Anti-semitism,executive vice president,1
FarRight_2-2017,Islamophobia,Muslim,2
FarRight_2-2017,Islamophobia,Muslims,1
FarRight_2-2018,Immigration,North Korean,1
FarRight_2-2018,Immigration,Foreign Minister,1
FarRight_2-2018,Immigration,Ri Yong Ho,1
FarRight_2-2018,Immigration,U.N.,1
FarRight_2-2018,Immigration,Secretary-General,1
FarRight_2-2018,Immigration,Antonio Guterres,1
FarRight_2-2018,Immigration,R.J. Rushdoony,1
FarRight_2-2018,Immigration,VA,1
FarRight_2-2018,Immigration,U.S,1
FarRight_2-2018,Immigration,judge,1
FarRight_2-2018,Immigration,Ecuadorean Embassy,1
FarRight_2-2018,Immigration,Tillerson,1
FarRight_2-2018,Immigration,U.S.,6
FarRight_2-2018,Immigration,Venezuela,1
FarRight_2-2018,Immigration,Hassan,1
FarRight_2-2018,Immigration,Iraq,1
FarRight_2-2018,Immigration,Afghanistan,1
FarRight_2-2018,Immigration,S&P,1
FarRight_2-2018,Immigration,U.S. Energy Information Administration,1
FarRight_2-2018,Immigration,CBC PAC,1
FarRight_2-2018,Immigration,African,1
FarRight_2-2018,Immigration,Americans,1
FarRight_2-2018,Immigration,Congress,1
FarRight_2-2018,Immigration,Facebook,1
FarRight_2-2018,Immigration,attorney,1
FarRight_2-2018,Immigration,SEC,1
FarRight_2-2018,Immigration,Warren Buffett,1
FarRight_2-2018,Immigration,United States,1
FarRight_2-2018,Immigration,Hamas,1
FarRight_2-2018,Immigration,leader,1
FarRight_2-2018,Immigration,his,1
FarRight_2-2018,Immigration,Germany,1
FarRight_2-2018,Immigration,English-speaking,1
