Year,Entity,Frequency
FarRight_2-2016,Muslim,2
FarRight_2-2016,Mayor,1
FarRight_2-2016,Muslims,9
FarRight_2-2016,Le PenMatteo RenziMatteo Salvini,1
FarRight_2-2016,GOP Primaryabortion exceptionsChris Christie 2016GOP New Hampshire,1
FarRight_2-2016,Clinton,2
FarRight_2-2016,Bush,1
FarRight_2-2016,Hampshire,1
FarRight_2-2016,EU,1
FarRight_2-2016,he,1
FarRight_2-2016,Germany,1
FarRight_2-2016,Austrian,1
FarRight_2-2016,German,4
FarRight_2-2016,Maine,1
FarRight_2-2016,European Union,1
FarRight_2-2016,American,1
FarRight_2-2016,Murdoch,1
FarRight_2-2016,Indonesian,1
FarRight_2-2016,Swedish,1
FarRight_2-2016,Shia,1
FarRight_2-2016,Alawite,1
FarRight_2-2016,Norway,2
FarRight_2-2016,Russia,1
FarRight_2-2016,Jews,3
FarRight_2-2016,Jewish,13
FarRight_2-2016,French,10
FarRight_2-2016,she,2
FarRight_2-2016,candidate,2
FarRight_2-2016,Secretary of State,2
FarRight_2-2016,Hillary Clinton,2
FarRight_2-2016,European,1
FarRight_2-2016,teacher,1
FarRight_2-2016,his,1
FarRight_2-2016,executive vice president,1
FarRight_2-2017,Muslim,2
FarRight_2-2017,Muslims,1
FarRight_2-2018,North Korean,1
FarRight_2-2018,Foreign Minister,1
FarRight_2-2018,Ri Yong Ho,1
FarRight_2-2018,U.N.,1
FarRight_2-2018,Secretary-General,1
FarRight_2-2018,Antonio Guterres,1
FarRight_2-2018,R.J. Rushdoony,1
FarRight_2-2018,VA,1
FarRight_2-2018,U.S,1
FarRight_2-2018,judge,1
FarRight_2-2018,Ecuadorean Embassy,1
FarRight_2-2018,Tillerson,1
FarRight_2-2018,U.S.,6
FarRight_2-2018,Venezuela,1
FarRight_2-2018,Hassan,1
FarRight_2-2018,Iraq,1
FarRight_2-2018,Afghanistan,1
FarRight_2-2018,S&P,1
FarRight_2-2018,U.S. Energy Information Administration,1
FarRight_2-2018,CBC PAC,1
FarRight_2-2018,African,1
FarRight_2-2018,Americans,1
FarRight_2-2018,Congress,1
FarRight_2-2018,Facebook,1
FarRight_2-2018,attorney,1
FarRight_2-2018,SEC,1
FarRight_2-2018,Warren Buffett,1
FarRight_2-2018,United States,1
FarRight_2-2018,Hamas,1
FarRight_2-2018,leader,1
FarRight_2-2018,his,1
FarRight_2-2018,Germany,1
FarRight_2-2018,English-speaking,1
