Year,Entity,Frequency
FarRight_2-2016,Afghan,6
FarRight_2-2016,Citizenship Canada,1
FarRight_2-2016,IRCC,2
FarRight_2-2016,United,1
FarRight_2-2016,Siddiq Howladar,1
FarRight_2-2016,Kashmiri Migrants Relief Holders,1
FarRight_2-2016,African,17
FarRight_2-2016,Trump,143
FarRight_2-2016,his,49
FarRight_2-2016,Donald Trump,69
FarRight_2-2016,Greek,2
FarRight_2-2016,English-speaking,2
FarRight_2-2016,Palestinian,7
FarRight_2-2016,Republicans,3
FarRight_2-2016,Legislature,1
FarRight_2-2016,United States,69
FarRight_2-2016,Hezbollah,1
FarRight_2-2016,Brandt,1
FarRight_2-2016,Todd,1
FarRight_2-2016,Fed,1
FarRight_2-2016,pro-American,5
FarRight_2-2016,White House,6
FarRight_2-2016,Democrat,3
FarRight_2-2016,GM,2
FarRight_2-2016,S&P,2
FarRight_2-2016,SPX,2
FarRight_2-2016,Canada,5
FarRight_2-2016,Mohammed Deif,1
FarRight_2-2016,Muslim,144
FarRight_2-2016,Natalie Wood,1
FarRight_2-2016,Reuters,3
FarRight_2-2016,CIS,1
FarRight_2-2016,Mike,4
FarRight_2-2016,Indians,1
FarRight_2-2016,Immigration Voice,2
FarRight_2-2016,assistant director,1
FarRight_2-2016,Center for Immigration Studies,2
FarRight_2-2016,President,59
FarRight_2-2016,Italy,9
FarRight_2-2016,Matteo Salvini,2
FarRight_2-2016,he,14
FarRight_2-2016,Marshall,1
FarRight_2-2016,NIF,1
FarRight_2-2016,DHS,1
FarRight_2-2016,Secretary,1
FarRight_2-2016,Jeh Johnson,1
FarRight_2-2016,Office of Refugee Resettlement,3
FarRight_2-2016,Americans,8
FarRight_2-2016,German,1
FarRight_2-2016,Obama,5
FarRight_2-2016,Mexican,7
FarRight_2-2016,McClintock,2
FarRight_2-2016,Eagle Pass Station Marine Unit,2
FarRight_2-2016,Honduran,2
FarRight_2-2016,Border Patrol,2
FarRight_2-2016,Jallyn Sualog,2
FarRight_2-2016,Health and Human Services’ Office of Refugee Resettlement,2
FarRight_2-2016,zealots,2
FarRight_2-2016,Nadler,2
FarRight_2-2016,Pelosi,2
FarRight_2-2016,CNN,2
