Topic,Entity,Frequency
Immigration,India,1
Immigration,President,21
Immigration,Donald Trump,23
Immigration,his,16
Immigration,marine,1
Immigration,U.S.,44
Immigration,American,8
Immigration,Miss,1
Immigration,Ocasio-Cortez,4
Immigration,president,6
Immigration,judge,3
Immigration,Australian,1
Immigration,Merkel,2
Immigration,Sinaloa Cartel,3
Immigration,El Salvador,2
Immigration,U.S,1
Immigration,Canada,3
Immigration,African,4
Immigration,Asian,2
Immigration,mobile,1
Immigration,Hull,1
Immigration,Falcons,1
Immigration,NFC,1
Immigration,California,1
Immigration,Samsung Electronics,1
Immigration,AHL,1
Immigration,Chile,1
Immigration,Mastercard,1
Immigration,University of Southern California,1
Immigration,Urman,1
Immigration,Deputy Chairman,1
Immigration,Bangladesh,2
Immigration,Colombian,2
Immigration,He,2
Immigration,EU,6
Immigration,Trump,26
Immigration,Syrian,32
Immigration,executive,8
Immigration,ALEK SKARLATOS,3
Immigration,Cheng,3
Immigration,Arctic,3
Immigration,Rep.,3
Immigration,Alexandria Ocasio-Cortez,3
Immigration,starter,3
Immigration,Kristaps Porzingis,3
Immigration,Dennis Smith Jr.,3
Immigration,Mueller,1
Immigration,Israeli,2
Immigration,Indian American,1
Immigration,Iraq,1
Immigration,China,1
Immigration,U.S. Embassy,1
Immigration,Yemen,3
Immigration,S.E. Smith,1
Immigration,ambassador,1
Immigration,Kim,1
Immigration,Berkeley,1
Immigration,attorney,2
Immigration,Julie Goldberg,1
Immigration,Office of Refugee Resettlement,2
Immigration,Syria,3
Immigration,Customs Enforcement,2
Immigration,Nicholas Espiritu,1
Immigration,Jeff Jacoby,5
Immigration,All-Democratic,5
Immigration,"Rich Lowry
Biden",5
Immigration,Somali,4
Immigration,Iraqi,3
Immigration,minister,1
Immigration,Obama,1
Immigration,Muslim,3
Immigration,Supreme Court,1
Immigration,Russia,2
Immigration,FCO,1
Immigration,Palestinian,2
Immigration,Lebanon,1
Immigration,Xavier,1
Immigration,operator,1
Immigration,iHeartCommunications Inc.,1
Immigration,US,3
Immigration,English-speaking,1
Immigration,Mattis,2
Immigration,Democrat,1
Immigration,Interior’s Bureau of Land Management,1
Immigration,Atlanta Fed,1
Immigration,New York Times,1
Immigration,he,1
Immigration,England,2
Immigration,Turkey,9
Immigration,U.S. Citizenship and Immigration Services,1
Immigration,USCIS,2
Immigration,student,1
Immigration,Booker,2
Immigration,Senate,1
Immigration,Amtrak,1
Immigration,Senator,1
Immigration,Marco Rubio,1
Immigration,Iran,1
Immigration,Open,1
Immigration,Caller,1
Immigration,9th U.S. Circuit Court of Appeals,1
Immigration,Maine,1
Immigration,Mufti,1
Immigration,Mexico,1
Immigration,European,1
Immigration,Mexican,8
Immigration,Boochani,1
Immigration,Hadi Hassan,1
Immigration,America,7
Immigration,Utah,1
Immigration,Muslim-majority,2
Immigration,Washington,1
Immigration,Attorney General,1
Immigration,Bob Ferguson,1
Immigration,Speaker,1
Immigration,Paul Ryan,1
Immigration,Donald J. Trump,1
Immigration,Palpatine,1
Immigration,Steve Bannon,1
Immigration,"EU                        

                            Trump",1
Immigration,Germany,1
Immigration,David Schaper,1
Immigration,Executive,1
Immigration,education secretary,1
Immigration,Department of Homeland Security,2
Immigration,Sex Trade U.S. Immigration and Customs Enforcement,1
Immigration,Santa Clarita Diet,1
Immigration,Barrymore,1
Immigration,Timothy Olyphant,1
Immigration,Noah,2
Immigration,Miley Cyrus,1
Immigration,Kellyanne Conway,1
Immigration,Council,1
Immigration,U.N.,1
Immigration,Barack Obama,1
Immigration,U.S. Food and Drug Administration,1
Immigration,FDA,2
Immigration,Hayward,1
Immigration,tier,1
Immigration,Farmers,1
Immigration,Iraqis,1
Immigration,her,3
Immigration,Tiffany Haddish,2
Immigration,Hassan Rouhani,1
Immigration,John McCallum,1
Immigration,immigration minister,1
Immigration,PTI,1
Immigration,National Assembly,1
Immigration,NA,1
Immigration,Getty,1
Immigration,NFL,1
Immigration,Roger Goodell,1
Immigration,Yonhap,2
Immigration,incoming,1
Immigration,Customs,1
Immigration,Lahren,2
Immigration,Dawn Adams,2
Immigration,Virginia,2
Immigration,Colin Kaepernick,1
Immigration,Fox Nation,1
Immigration,host,1
Immigration,UK,1
Immigration,Georgian,1
Immigration,Zachary Stieber,2
Immigration,Iranian,2
Immigration,French,6
Immigration,Australia,1
Immigration,Americans,1
Islamophobia,Trump,5
Islamophobia,Muslim,17
