Topic,Entity,Frequency
Immigration,Afghan,2
Immigration,Nigerian,1
Immigration,Donald Trump,2
Immigration,Americans,1
Immigration,Muslim,1
Immigration,Syria,1
Immigration,Rubio,7
Immigration,driver,2
Immigration,Germany,2
Immigration,European Commission,1
Immigration,Fox News,1
Immigration,South Africa,1
Immigration,Muslims,1
Immigration,Kelly,4
Immigration,Italian,1
Immigration,African,2
Immigration,Norwegian,2
Immigration,Refugee Council,1
Immigration,Bush,2
Immigration,Iraqi,6
Immigration,Britain,2
Immigration,Hungary,1
Immigration,attorney,1
Immigration,OH,1
Immigration,American,4
Immigration,America,1
Immigration,El Salvador,1
Immigration,Roz,2
Immigration,Witz,1
Islamophobia,AQAP,1
Islamophobia,Sudan,2
Islamophobia,Muslim,1
Islamophobia,Americans,2
Islamophobia,Muslims,3
Islamophobia,his,1
Anti-semitism,Jewish,12
Anti-semitism,Israelis,1
Anti-semitism,Barack Obama,2
Anti-semitism,U.S.,3
Anti-semitism,president,1
Anti-semitism,Obama,1
Anti-semitism,President,1
Anti-semitism,French,10
Anti-semitism,Jews,1
Anti-semitism,Jew,1
Anti-semitism,Alexa,2
