Topic,Entity,Frequency
Immigration,Muslim,2
Immigration,Mayor,1
Immigration,Muslims,1
Immigration,Le PenMatteo RenziMatteo Salvini,1
Immigration,GOP Primaryabortion exceptionsChris Christie 2016GOP New Hampshire,1
Immigration,Clinton,2
Immigration,Bush,1
Immigration,Hampshire,1
Immigration,EU,1
Immigration,he,1
Immigration,Germany,2
Immigration,Austrian,1
Immigration,German,4
Immigration,Maine,1
Immigration,European Union,1
Immigration,American,1
Immigration,Murdoch,1
Immigration,Indonesian,1
Immigration,Swedish,1
Immigration,North Korean,1
Immigration,Foreign Minister,1
Immigration,Ri Yong Ho,1
Immigration,U.N.,1
Immigration,Secretary-General,1
Immigration,Antonio Guterres,1
Immigration,R.J. Rushdoony,1
Immigration,VA,1
Immigration,U.S,1
Immigration,judge,1
Immigration,Ecuadorean Embassy,1
Immigration,Tillerson,1
Immigration,U.S.,6
Immigration,Venezuela,1
Immigration,Hassan,1
Immigration,Iraq,1
Immigration,Afghanistan,1
Immigration,S&P,1
Immigration,U.S. Energy Information Administration,1
Immigration,CBC PAC,1
Immigration,African,1
Immigration,Americans,1
Immigration,Congress,1
Immigration,Facebook,1
Immigration,attorney,1
Immigration,SEC,1
Immigration,Warren Buffett,1
Immigration,United States,1
Immigration,Hamas,1
Immigration,leader,1
Immigration,his,1
Immigration,English-speaking,1
Islamophobia,Muslims,9
Islamophobia,Shia,1
Islamophobia,Alawite,1
Islamophobia,Norway,2
Islamophobia,Russia,1
Islamophobia,Muslim,2
Anti-semitism,Jews,3
Anti-semitism,Jewish,13
Anti-semitism,French,10
Anti-semitism,she,2
Anti-semitism,candidate,2
Anti-semitism,Secretary of State,2
Anti-semitism,Hillary Clinton,2
Anti-semitism,European,1
Anti-semitism,teacher,1
Anti-semitism,his,1
Anti-semitism,executive vice president,1
