Dataset,Topic,Entity,Frequency
FarRight_2-2016,Immigration,Palestinian,7
FarRight_2-2016,Immigration,Citizenship and Multicultural Affairs,1
FarRight_2-2016,Immigration,Camila Cabello,2
FarRight_2-2016,Immigration,Music Man,2
FarRight_2-2016,Immigration,Israel,3
FarRight_2-2016,Immigration,As League of Nations,2
FarRight_2-2016,Immigration,Italy,4
FarRight_2-2016,Immigration,EU,7
FarRight_2-2016,Immigration,Ethiopian,4
FarRight_2-2016,Immigration,Immigrant Absorption Ministry,2
FarRight_2-2016,Immigration,Jews,3
FarRight_2-2016,Immigration,George Habash,2
FarRight_2-2016,Immigration,Al-Baqa’a,2
FarRight_2-2016,Immigration,pilot,2
FarRight_2-2016,Immigration,Migration Policy Ministry,6
FarRight_2-2016,Immigration,Greece,2
FarRight_2-2016,Immigration,Germany,2
FarRight_2-2016,Immigration,FBI,1
FarRight_2-2016,Immigration,Bosnian,2
FarRight_2-2016,Immigration,Russian,2
FarRight_2-2016,Immigration,Donald Trump,20
FarRight_2-2016,Immigration,President,17
FarRight_2-2016,Immigration,Hassan Rouhani,1
FarRight_2-2016,Immigration,president,5
FarRight_2-2016,Immigration,Sweden,2
FarRight_2-2016,Immigration,Afghan,5
FarRight_2-2016,Immigration,Bahraini,3
FarRight_2-2016,Immigration,United States,2
FarRight_2-2016,Immigration,African,2
FarRight_2-2016,Immigration,Citizenship,1
FarRight_2-2016,Immigration,Investment Unit,1
FarRight_2-2016,Immigration,Uzbekistan,1
FarRight_2-2016,Immigration,his,10
FarRight_2-2016,Immigration,Anderson,1
FarRight_2-2016,Immigration,Protestant,1
FarRight_2-2016,Immigration,Evangelical Immigration Table,1
FarRight_2-2016,Immigration,Christian,3
FarRight_2-2016,Immigration,Mexico,5
FarRight_2-2016,Immigration,Asian,3
FarRight_2-2016,Immigration,lawyer,1
FarRight_2-2016,Immigration,Rohingyas,1
FarRight_2-2016,Immigration,Trump,23
FarRight_2-2016,Immigration,Pakistani,1
FarRight_2-2016,Immigration,US,8
FarRight_2-2016,Immigration,doctor,1
FarRight_2-2016,Immigration,Rohingya,1
FarRight_2-2016,Immigration,Bangladesh,1
FarRight_2-2016,Immigration,Canada,3
FarRight_2-2016,Immigration,Prime Minister,1
FarRight_2-2016,Immigration,Justin Trudeau,1
FarRight_2-2016,Immigration,Border Patrol,1
FarRight_2-2016,Immigration,Cara di Mineo,1
FarRight_2-2016,Immigration,California,1
FarRight_2-2016,Immigration,Ferrera,1
FarRight_2-2016,Immigration,Qatari,1
FarRight_2-2016,Immigration,Araibi,2
FarRight_2-2016,Immigration,Customs Enforcement,4
FarRight_2-2016,Immigration,special agent,2
FarRight_2-2016,Immigration,Mark Zito,2
FarRight_2-2016,Immigration,New York Times,2
FarRight_2-2016,Immigration,Justice Department,2
FarRight_2-2016,Immigration,judge,2
FarRight_2-2016,Immigration,LEA,2
FarRight_2-2016,Immigration,DOJ’s Board of Immigration Appeals,2
FarRight_2-2016,Immigration,attorney,3
FarRight_2-2016,Immigration,His,2
FarRight_2-2016,Immigration,Colombian,1
FarRight_2-2016,Immigration,Boochani,1
FarRight_2-2016,Immigration,Sierra Leone,1
FarRight_2-2016,Immigration,him,1
FarRight_2-2016,Immigration,Muslim,25
FarRight_2-2016,Immigration,Becca Heller,1
FarRight_2-2016,Immigration,director,3
FarRight_2-2016,Immigration,International Refugee Assistance Project,1
FarRight_2-2016,Immigration,Illegals,2
FarRight_2-2016,Immigration,executive,10
FarRight_2-2016,Immigration,Trump Adan SalazarPrison,1
FarRight_2-2016,Immigration,Judge,1
FarRight_2-2016,Immigration,James Robart,1
FarRight_2-2016,Immigration,United States Citizenship and Immigration Services,1
FarRight_2-2016,Immigration,USCIS,2
FarRight_2-2016,Immigration,Migration Policy Institute,1
FarRight_2-2016,Immigration,independent,1
FarRight_2-2016,Immigration,Mexican,1
FarRight_2-2016,Immigration,her,1
FarRight_2-2016,Immigration,Kentucky,1
FarRight_2-2016,Immigration,Iraqi,2
FarRight_2-2016,Immigration,Refugee Act,2
FarRight_2-2016,Immigration,Jimmy Carter,1
FarRight_2-2016,Immigration,Muslims,1
FarRight_2-2016,Immigration,Kuwait,1
FarRight_2-2016,Immigration,Peter Thiel,1
FarRight_2-2016,Immigration,New Zealand,1
FarRight_2-2016,Immigration,Phoenix Convention Center,1
FarRight_2-2016,Immigration,student,2
FarRight_2-2016,Immigration,Israelis,2
FarRight_2-2016,Immigration,Zoroastrians,1
FarRight_2-2016,Immigration,BDS,1
FarRight_2-2016,Immigration,Iran,1
FarRight_2-2016,Immigration,Somali,3
FarRight_2-2016,Immigration,Iraq,2
FarRight_2-2016,Immigration,America,1
FarRight_2-2016,Immigration,Obama,2
FarRight_2-2016,Immigration,Hungarian,1
FarRight_2-2016,Immigration,Schultz,1
FarRight_2-2016,Immigration,Twitter @jeff_poor ClipsBorder WallDonald TrumpFox & FriendsFox,1
FarRight_2-2016,Immigration,Ryan,1
FarRight_2-2016,Immigration,Wheaton College,1
FarRight_2-2016,Immigration,Dennis Hanno,1
FarRight_2-2016,Immigration,non-Europeans,1
FarRight_2-2016,Immigration,Jeff Jacoby,1
FarRight_2-2016,Immigration,All-Democratic,1
FarRight_2-2016,Immigration,"Rich Lowry
Biden",1
FarRight_2-2016,Immigration,Virginia,1
FarRight_2-2016,Immigration,Chancellor,1
FarRight_2-2016,Immigration,German,4
FarRight_2-2016,Immigration,Greek,4
FarRight_2-2016,Immigration,MS-13,1
FarRight_2-2016,Immigration,English-speaking,2
FarRight_2-2016,Immigration,Congress,2
FarRight_2-2016,Immigration,Justin,1
FarRight_2-2016,Immigration,Barack Obama,1
FarRight_2-2016,Immigration,George W. Bush,1
FarRight_2-2016,Immigration,American,4
