Year,Entity,Frequency
FarRight_2-2016,British,1
FarRight_2-2016,Eastern,1
FarRight_2-2016,European,1
FarRight_2-2016,Pedro Figueroa-Zarceno,2
FarRight_2-2016,Zarceno-Figueroa,1
FarRight_2-2016,South Africa,1
FarRight_2-2016,America,1
FarRight_2-2016,pro-American,6
FarRight_2-2016,African,2
FarRight_2-2016,Cruz,2
FarRight_2-2016,Nigerian,1
FarRight_2-2016,Muslims,6
FarRight_2-2016,Muslim,2
FarRight_2-2016,Mueller,1
FarRight_2-2016,Islam,1
FarRight_2-2016,Sunni,1
FarRight_2-2016,Arabs,1
FarRight_2-2016,Jews,6
FarRight_2-2016,Jewish,2
FarRight_2-2016,Kate Middleton,1
FarRight_2-2017,Jewish,2
FarRight_2-2017,Congress,1
FarRight_2-2017,Californians,2
FarRight_2-2018,pro-Jewish,3
