Topic,Entity,Frequency
Immigration,Palestinian,7
Immigration,Citizenship and Multicultural Affairs,1
Immigration,Camila Cabello,2
Immigration,Music Man,2
Immigration,Israel,3
Immigration,As League of Nations,2
Immigration,Italy,4
Immigration,EU,8
Immigration,Ethiopian,4
Immigration,Immigrant Absorption Ministry,2
Immigration,Jews,3
Immigration,George Habash,2
Immigration,Al-Baqa’a,2
Immigration,pilot,2
Immigration,Migration Policy Ministry,6
Immigration,Greece,2
Immigration,Germany,2
Immigration,FBI,1
Immigration,Bosnian,2
Immigration,Russian,2
Immigration,Donald Trump,20
Immigration,President,17
Immigration,Hassan Rouhani,1
Immigration,president,5
Immigration,Sweden,2
Immigration,Afghan,5
Immigration,Bahraini,3
Immigration,United States,2
Immigration,African,2
Immigration,Citizenship,1
Immigration,Investment Unit,1
Immigration,Uzbekistan,1
Immigration,his,13
Immigration,Anderson,1
Immigration,Protestant,1
Immigration,Evangelical Immigration Table,1
Immigration,Christian,3
Immigration,Mexico,5
Immigration,Asian,3
Immigration,lawyer,1
Immigration,Rohingyas,1
Immigration,Trump,24
Immigration,Pakistani,1
Immigration,US,8
Immigration,doctor,1
Immigration,Rohingya,1
Immigration,Bangladesh,1
Immigration,Canada,3
Immigration,Prime Minister,1
Immigration,Justin Trudeau,1
Immigration,Border Patrol,1
Immigration,Cara di Mineo,1
Immigration,California,1
Immigration,Ferrera,1
Immigration,Qatari,1
Immigration,Araibi,2
Immigration,Customs Enforcement,4
Immigration,special agent,2
Immigration,Mark Zito,2
Immigration,New York Times,2
Immigration,Justice Department,2
Immigration,judge,2
Immigration,LEA,2
Immigration,DOJ’s Board of Immigration Appeals,2
Immigration,attorney,3
Immigration,His,2
Immigration,Colombian,1
Immigration,Boochani,1
Immigration,Sierra Leone,1
Immigration,him,1
Immigration,Muslim,25
Immigration,Becca Heller,1
Immigration,director,3
Immigration,International Refugee Assistance Project,1
Immigration,Illegals,2
Immigration,executive,10
Immigration,Trump Adan SalazarPrison,1
Immigration,Judge,1
Immigration,James Robart,1
Immigration,United States Citizenship and Immigration Services,1
Immigration,USCIS,2
Immigration,Migration Policy Institute,1
Immigration,independent,1
Immigration,Mexican,1
Immigration,her,1
Immigration,Kentucky,1
Immigration,Iraqi,2
Immigration,Refugee Act,2
Immigration,Jimmy Carter,1
Immigration,Muslims,1
Immigration,Kuwait,1
Immigration,Peter Thiel,1
Immigration,New Zealand,1
Immigration,Phoenix Convention Center,1
Immigration,student,2
Immigration,Israelis,2
Immigration,Zoroastrians,1
Immigration,BDS,1
Immigration,Iran,1
Immigration,Somali,3
Immigration,Iraq,2
Immigration,America,2
Immigration,Obama,2
Immigration,Hungarian,1
Immigration,Schultz,1
Immigration,Twitter @jeff_poor ClipsBorder WallDonald TrumpFox & FriendsFox,1
Immigration,Ryan,1
Immigration,Wheaton College,1
Immigration,Dennis Hanno,1
Immigration,non-Europeans,1
Immigration,Jeff Jacoby,1
Immigration,All-Democratic,1
Immigration,"Rich Lowry
Biden",1
Immigration,Virginia,1
Immigration,Chancellor,1
Immigration,German,4
Immigration,Greek,4
Immigration,MS-13,1
Immigration,English-speaking,2
Immigration,Congress,2
Immigration,Justin,1
Immigration,Barack Obama,1
Immigration,George W. Bush,1
Immigration,American,4
Immigration,Americans,1
Immigration,European,2
Immigration,Merkel,1
Immigration,Mohammed Deif,1
Immigration,Lukasz Niec,1
Immigration,CIS,1
Immigration,City Councilman,1
Immigration,Chad Oberson,1
Immigration,Immigration Voice,3
Immigration,assistant director,3
Immigration,Center for Immigration Studies,3
Immigration,Honduras,3
Immigration,governor,3
Immigration,Chuck Schumer,1
Immigration,Border Wall &,1
Immigration,Indian,3
Immigration,Ocasio-Cortez,1
Immigration,Director,2
Immigration,Sarah Saldaña,2
Immigration,Central,2
Immigration,Hispanics,1
Immigration,Biden,1
Immigration,count,1
Immigration,Jallyn Sualog,1
Immigration,Health and Human Services’ Office of Refugee Resettlement,1
Immigration,zealots,1
Immigration,English,1
Immigration,Channel,1
Immigration,Fairness,2
Immigration,El Salvador,2
Immigration,Republican House,1
Immigration,Paul Ryan,1
Immigration,ADEQ,1
Immigration,Office of Border Environmental Protection,1
Immigration,McClintock,1
Immigration,Nevada,1
Immigration,Nepal,1
Immigration,South African,1
Immigration,White House,2
Immigration,NAFTA,2
Immigration,Westy Egmont,2
Immigration,Immigrant Integration Lab,4
Immigration,Boston College,2
Immigration,World Bank,1
Immigration,UAE,1
Immigration,Britons,1
Immigration,Customs,1
Immigration,Australia,1
Immigration,North,1
Immigration,Chinese,2
Immigration,Maine,1
Immigration,Cory Booker,1
Immigration,Booker,1
Immigration,African-American,1
Immigration,MSNBC,1
Immigration,DHS,1
