Year,Entity,Frequency
FarRight_2-2016,Palestinian,7
FarRight_2-2016,Citizenship and Multicultural Affairs,1
FarRight_2-2016,Camila Cabello,2
FarRight_2-2016,Music Man,2
FarRight_2-2016,Israel,5
FarRight_2-2016,As League of Nations,2
FarRight_2-2016,Italy,4
FarRight_2-2016,EU,7
FarRight_2-2016,Ethiopian,4
FarRight_2-2016,Immigrant Absorption Ministry,2
FarRight_2-2016,Jews,21
FarRight_2-2016,George Habash,2
FarRight_2-2016,Al-Baqa’a,2
FarRight_2-2016,pilot,2
FarRight_2-2016,Migration Policy Ministry,6
FarRight_2-2016,Greece,2
FarRight_2-2016,Germany,2
FarRight_2-2016,FBI,1
FarRight_2-2016,Bosnian,2
FarRight_2-2016,Russian,2
FarRight_2-2016,Donald Trump,21
FarRight_2-2016,President,18
FarRight_2-2016,Hassan Rouhani,1
FarRight_2-2016,president,8
FarRight_2-2016,Sweden,2
FarRight_2-2016,Afghan,5
FarRight_2-2016,Bahraini,3
FarRight_2-2016,United States,2
FarRight_2-2016,African,2
FarRight_2-2016,Citizenship,1
FarRight_2-2016,Investment Unit,1
FarRight_2-2016,Uzbekistan,1
FarRight_2-2016,his,10
FarRight_2-2016,Anderson,1
FarRight_2-2016,Protestant,1
FarRight_2-2016,Evangelical Immigration Table,1
FarRight_2-2016,Christian,6
FarRight_2-2016,Mexico,5
FarRight_2-2016,Asian,3
FarRight_2-2016,lawyer,1
FarRight_2-2016,Rohingyas,1
FarRight_2-2016,Trump,32
FarRight_2-2016,Pakistani,2
FarRight_2-2016,US,9
FarRight_2-2016,doctor,1
FarRight_2-2016,Rohingya,1
FarRight_2-2016,Bangladesh,1
FarRight_2-2016,Canada,3
FarRight_2-2016,Prime Minister,1
FarRight_2-2016,Justin Trudeau,1
FarRight_2-2016,Border Patrol,1
FarRight_2-2016,Cara di Mineo,1
FarRight_2-2016,California,1
FarRight_2-2016,Ferrera,1
FarRight_2-2016,Qatari,1
FarRight_2-2016,Araibi,2
FarRight_2-2016,Customs Enforcement,4
FarRight_2-2016,special agent,2
FarRight_2-2016,Mark Zito,2
FarRight_2-2016,New York Times,2
FarRight_2-2016,Justice Department,2
FarRight_2-2016,judge,2
FarRight_2-2016,LEA,2
FarRight_2-2016,DOJ’s Board of Immigration Appeals,2
