Topic,Entity,Frequency
Immigration,Mexican,9
Immigration,Syrian,17
Immigration,American Civil Liberties Union,1
Immigration,ACLU,1
Immigration,U.S.,2
Immigration,general,1
Immigration,Trump,58
Immigration,Turnbull,1
Immigration,Peter Thiel,2
Immigration,New Zealand,4
Immigration,UNCSR,1
Immigration,State Department,2
Immigration,Muslim,9
Immigration,North,1
Immigration,African,7
Immigration,Asian,5
Immigration,Obama,7
Immigration,Iran,2
Immigration,intra-European,2
Immigration,judge,2
Immigration,America,5
Immigration,US,8
Immigration,United States,1
Immigration,Hispanics,5
Immigration,New York,1
Immigration,executive,11
Immigration,American,2
Immigration,Muslims,1
Immigration,Donald Trump,9
Immigration,President,7
Immigration,Conway,1
Immigration,president,2
Immigration,Yemen,1
Immigration,Nigeria,1
Immigration,secretary of Homeland Security,1
Immigration,his,8
Immigration,barber,1
Immigration,Canada,1
Immigration,minister,1
Immigration,Schultz,1
Immigration,Nicholas Espiritu,1
Immigration,attorney,2
Immigration,Israeli,1
Immigration,Commonwealth Office,1
Immigration,South Dakota,1
Immigration,Jeff Jacoby,1
Immigration,All-Democratic,1
Immigration,"Rich Lowry
Biden",1
Immigration,UAE,1
Immigration,Catholic Charities,1
Immigration,Turkey,3
Immigration,Mass,2
Immigration,Hamas,1
Immigration,DNC,2
Immigration,EU,18
Immigration,Russian,2
Immigration,Thakkar,1
Immigration,She,3
Immigration,Kulnawaz Youssef,1
Immigration,Habeeba Waqas,1
Immigration,Suad Abdulmajeed,1
Immigration,Sheikhmous Hussein,1
Immigration,Greece,1
Immigration,Fidan Kiru,1
Immigration,Afrin,1
Immigration,Sahar Dargzini,1
Immigration,Amineh Hamad,1
Immigration,VISA FIS Freestyle World Cup,1
Immigration,Twitter,1
Immigration,Lea DeLaria,1
Immigration,McCarthy,1
Immigration,Afghan,2
Immigration,Greek,4
Immigration,Nigerian,4
Immigration,Merkel,1
Immigration,she,5
Immigration,Mohammed Deif,1
Immigration,Italy,2
Immigration,Sweden,1
Immigration,her,2
Immigration,pro-American,2
Immigration,German,1
Immigration,Facebook,1
Immigration,Customs Enforcement,2
Immigration,El Salvador,3
Immigration,Congress,1
Immigration,Manus,1
Immigration,European,2
Immigration,Center for Immigration Studies,2
Immigration,Jessica Vaughan,2
Immigration,Fairness,2
Immigration,Honduran,2
Immigration,His,2
Immigration,Ronil Singh,2
Immigration,Republicans,2
Immigration,EBC,2
Immigration,Nauru,5
Immigration,Americans,1
Immigration,Palestinian,1
Immigration,Booker,1
Immigration,European Union,1
Immigration,Times,3
Immigration,columnist,3
Immigration,Australia,3
Immigration,Immigration Minister,1
Immigration,David Coleman,1
Immigration,Beltway Democrat,1
Immigration,Customs,2
Immigration,Illegals,3
Immigration,Argentina,6
Immigration,Japan,3
Immigration,Ukraine,3
Immigration,Ferrera,2
Immigration,Schmarsel,2
Immigration,Germany,2
Immigration,truck driver,1
Immigration,UNHCR,1
Immigration,Immigration NZ,2
Immigration,Camila Cabello,1
Immigration,British,1
Immigration,Israel,2
Immigration,Alba,1
Immigration,Sudan,1
Immigration,Bangladesh,4
Immigration,Norwegian,2
Immigration,Refugee Council,1
Immigration,Tunisian,2
Immigration,Rohingya,1
Immigration,Jordan,2
Immigration,California,1
Immigration,He,2
Immigration,Malaysians,4
Immigration,United Nations Refugee Agency,2
Immigration,Iraqi,2
Immigration,Germanic,2
Immigration,Whitaker,1
Immigration,Gazan,1
Immigration,Bill Clinton,1
Immigration,Nakivale,4
Immigration,Uganda,4
Immigration,Australian,2
Immigration,Border Wall,1
Immigration,Mexico,1
Immigration,Dwivedy,1
Immigration,Immigration Voice,1
Immigration,Border Patrol,1
Islamophobia,Muslim,50
Islamophobia,Sunni Muslim,1
Islamophobia,Syria,4
Islamophobia,Muslim Brotherhood,1
Islamophobia,Giuliani,1
Islamophobia,Ban,2
Islamophobia,Muslims,38
Islamophobia,his,2
Islamophobia,Islamophobic,3
Islamophobia,executive,1
Islamophobia,White House,1
Islamophobia,Trump,3
Islamophobia,Central Intelligence Agency,1
Islamophobia,Sunni,3
Islamophobia,Americans,2
Islamophobia,muslim,5
Islamophobia,FBI,1
Islamophobia,Islam,16
Islamophobia,Al Qaeda,1
Islamophobia,Soviet,1
Islamophobia,Afghanistan,1
Islamophobia,Islamists,6
Islamophobia,Muslim Fashions,1
Islamophobia,Washington,1
Islamophobia,Nigeria,1
Islamophobia,America,2
Islamophobia,Jihadists,2
Islamophobia,negro,1
Islamophobia,founder,1
Islamophobia,Nation of Islam,1
Islamophobia,French,2
Islamophobia,UK,2
Islamophobia,Mexicans,2
Islamophobia,American,1
Islamophobia,Christianity and Islam,1
Islamophobia,Sheridan,1
Islamophobia,Jewish,1
Islamophobia,China,1
Islamophobia,Indonesia,2
Islamophobia,Shia,1
Islamophobia,Pope Francis,1
Islamophobia,Myanmar,1
Islamophobia,Rohingya,1
Islamophobia,She,2
Islamophobia,Zeldin Islamophobic,1
Islamophobia,House Foreign Affairs Subcommittee,1
Islamophobia,Shiite Muslim,1
Islamophobia,Christians,1
Islamophobia,Keller,1
Islamophobia,Iran,1
Islamophobia,Israel,1
Islamophobia,anti-Islam,1
Islamophobia,politician,1
Islamophobia,Pauline Hanson,1
Islamophobia,African,1
Islamophobia,United States,1
Islamophobia,Russia,1
Islamophobia,Serbs,1
Anti-semitism,Jewish,439
Anti-semitism,Jews,35
Anti-semitism,Jewish Home Party,10
Anti-semitism,Naftali Bennett,4
Anti-semitism,leader,6
Anti-semitism,American,3
Anti-semitism,Stream,2
Anti-semitism,Netanyahu,2
Anti-semitism,Rotem,2
Anti-semitism,Turkey,2
Anti-semitism,Britain,2
Anti-semitism,Donald Trump,2
Anti-semitism,Judaism,2
Anti-semitism,David Lange,2
Anti-semitism,Judeo-Christian,1
Anti-semitism,Western,1
Anti-semitism,student,1
Anti-semitism,Jewish Hospital,1
Anti-semitism,Israel,2
Anti-semitism,politician,5
Anti-semitism,Barack Obama,1
Anti-semitism,she,1
Anti-semitism,Jew,5
Anti-semitism,Barr,1
Anti-semitism,devout,1
Transphobia,Canada International Pro-family Resistance Transgender,2
Transphobia,Richard Moorhead,1
Transphobia,Big League Politics,1
Transphobia,Orwellian,1
Transphobia,activist,3
Transphobia,her,1
Transphobia,OutServe-Servicemembers Legal Defense Network,1
Transphobia,Adam,1
Transphobia,World Professional Association for Transgender Health,1
Transphobia,Rebekah,1
Transphobia,cyclist,1
Transphobia,New Zealand,1
Transphobia,weightlifter,1
